NO,MValue,SValue
1,-0.00,0.64
2,-0.00,0.64
3,-0.00,0.36
4,-0.00,0.42
5,-0.00,0.67
6,-0.00,0.49
7,-0.00,0.55
8,-0.00,0.38
9,-0.00,0.35
10,-0.00,0.50
11,-0.00,0.67
12,-0.00,0.53
13,-0.00,0.50
14,-0.00,0.43
15,-0.00,0.43
16,-0.00,0.68
17,-0.00,0.51
18,-0.00,0.46
19,-0.00,0.73
20,-0.00,0.35
21,-0.00,0.67
22,-0.00,0.39
23,-0.00,0.71
24,-0.00,0.44
25,-0.00,0.54
26,-0.00,0.70
27,-0.00,0.36
28,-0.00,0.39
29,-0.00,0.64
30,-0.00,0.47
31,-0.00,0.40
32,-0.00,0.61
33,-0.00,0.59
34,-0.00,0.40
35,-0.00,0.45
36,-0.00,0.51
37,-0.00,0.41
38,-0.00,0.65
